NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
113,0.16756,7.0681,16.854,7.8826,1.818,5.983,18.918,15.333,-9.4255,-9.7646,20.99,-0.13813,25.661,21.696,18.825,10.708
114,15.149,-5.3423,-2.6898,-9.1274,-16.809,-11.788,-3.3756,0.17333,-2.3437,1.1175,-9.9623,11.478,-10.595,-13.566,12.744,-17.615
115,14.953,14.245,7.2351,10.885,1.7597,5.9246,19.718,11.347,-12.453,1.6421,10.596,9.4279,3.8913,1.5467,-13.935,-1.9684
116,8.4339,29.511,17.45,25.861,16.177,20.392,27.543,16.934,-10.595,6.6721,18.406,16.137,9.7532,7.5831,-3.5184,7.5581
117,1.188,26.771,19.82,23.857,17.604,17.089,24.761,14.218,0.42862,1.5037,17.555,8.4857,10.343,10.05,0.69468,12.386
118,-1.4284,16.43,14.388,14.147,9.6674,7.2888,15.304,4.8324,14.604,5.5421,10.367,12.595,8.7657,10.924,7.5071,11.52
119,2.8855,-7.8664,-4.4032,-11.202,-14.401,-12.571,-8.141,-6.5664,12.59,4.585,-9.7885,7.1646,-7.0826,-5.5013,5.186,-3.1724
120,2.3194,-1.777,-4.3192,-2.6164,-2.203,-8.1341,-18.083,-6.498,-20.71,11.711,-16.148,5.9159,-5.3812,-6.0765,-11.733,-1.5652
121,7.3374,-7.158,-4.0776,-3.9782,-1.3737,-6.7699,-19.338,-7.0849,-14.488,20.27,-11.989,12.103,-5.4324,-4.9344,-10.886,-0.97416
122,3.8032,-8.3137,-3.4841,-5.4939,-4.0337,-4.5678,-17.222,-4.7109,-10.114,9.651,5.0696,-1.0678,6.7892,7.6502,-8.531,8.2416
123,4.2558,2.5844,0.6171,1.0225,1.1845,2.9467,-10.184,-0.55648,0.29938,12.292,4.5303,7.6657,-0.79229,-1.5095,7.6774,-0.72398
124,6.2775,-3.0799,-6.3462,-5.1215,-2.4353,-6.3139,-12.949,-3.1603,11.094,4.1211,-2.8009,-0.67877,-9.7823,-9.048,8.2519,-7.9456
125,-10.292,23.098,15.105,23.369,22.407,20.804,5.757,13.483,8.4652,-9.8322,15.836,-14.29,12.933,11.639,-8.259,14.412
126,-8.0044,4.851,5.4125,7.0916,7.9811,-0.55784,0.87162,3.4594,13.877,-13.17,10.287,-11.175,4.9474,4.3139,9.6697,12.428
127,-1.9924,-7.5994,-1.0513,-2.16,-1.8631,-10.105,0.15408,-2.4047,14.072,-13.768,1.4648,-14.209,-4.1341,-1.9178,11.322,0.71312
128,2.4165,-2.3368,0.58677,-2.229,-2.3661,-7.9709,-3.6862,-2.609,4.2325,-5.4081,-6.4049,-3.0017,-12.23,-10.001,6.9453,-8.2565
129,-0.05979,-5.4659,-3.9822,-5.7064,-2.5116,-8.5219,-5.0455,-4.3839,-8.5739,-7.1826,-1.2927,-8.5288,-8.9538,-10.539,-8.3433,-6.0902
130,-5.0857,8.5542,1.9734,10.896,11.846,8.701,8.4827,-2.3293,-15.125,-9.2814,-1.8395,-6.6483,-1.2935,-1.1151,-13.954,-3.429
131,-5.9918,-0.01353,6.3819,4.1665,5.4011,5.3287,18.025,12.345,-14.635,-15.658,14.242,-11.345,19.901,20.259,-1.7125,14.829
132,-1.4591,-14.752,-7.8644,-11.011,-10.514,-8.61,5.8574,1.2429,-17.545,-6.1429,-0.12422,-3.2838,4.8492,7.003,1.4694,-1.582
133,0.59319,-6.1341,-7.5813,-7.4667,-6.0891,-3.2004,1.7969,-4.5267,-16.7,-1.1819,-9.0036,-0.046729,-7.6163,-7.0463,0.62758,-11.955
134,-7.3761,16.334,10.275,14.743,14.645,18.478,16.197,8.573,-5.0337,-2.146,10.482,-0.61174,11.69,8.6834,9.3285,4.558
135,0.17375,-9.6447,-4.4514,-12.67,-11.007,-10.596,-7.7778,-3.4896,16.66,0.85763,6.2637,3.5169,-3.5775,-3.98,5.9788,-1.4232
136,-9.8366,5.6199,3.7682,6.1483,8.4539,4.763,-2.35,1.7345,12.427,-3.3358,0.62108,-0.5917,-3.5578,-5.787,-1.4879,-2.1451
137,-7.4031,2.2278,2.2795,1.5846,1.1244,-0.063956,-4.4669,0.63157,11.915,-9.0116,2.3617,-0.66644,1.8774,1.9895,9.8145,6.9259
138,0.82882,-9.4654,-4.8352,-7.9511,-6.2078,-9.8702,-10.536,-4.1018,7.5938,-9.6367,-3.0314,-4.3547,-5.6808,-5.4249,2.7149,2.0573
139,5.0739,-11.383,-11.203,-7.9294,-6.8848,-12.237,-13.638,-13.607,5.342,3.5922,-18.113,6.2885,-17.455,-17.783,-1.3039,-7.5298
140,2.0888,0.43312,-4.6035,-2.9283,-5.713,-0.31486,-5.7461,-1.2421,7.8576,5.5052,-5.8547,7.7552,-6.0377,-4.5925,-11.325,-9.6861
141,4.7679,-1.912,-4.6084,-2.4875,-4.8272,-1.9309,-1.9816,-1.9334,-0.80277,3.2528,-9.7646,3.2262,-9.4995,-6.0699,-19.865,-12.648
142,7.0967,3.0564,-2.931,0.62879,-5.2031,3.3851,-1.9763,-1.2853,-5.8592,13.281,-8.4143,12.278,-8.8333,-6.4886,-11.216,-9.8852
143,5.2526,-0.60074,-4.4229,-2.3673,-5.6942,1.007,0.11251,0.3983,-10.453,7.9978,0.53201,-0.7036,0.41891,1.231,-7.6706,-6.5966
144,5.3021,-0.35233,-2.7477,3.1431,0.99552,1.5349,5.5915,-3.1115,-11.539,17.011,-8.2321,8.1626,-3.3603,-2.0179,2.5317,-5.983
145,6.2334,11.528,10.209,8.3465,6.7611,12.216,13.244,12.62,-3.3789,5.7956,13.37,5.0351,14.812,10.306,10.434,5.7411
146,4.2479,7.57,7.2227,4.6433,3.0304,7.1494,9.1304,11.826,-3.018,-2.571,7.3513,-3.5941,9.6975,3.6408,8.6206,-0.94274
147,6.4313,-5.8667,2.6665,-5.6779,-3.4689,-3.7162,0.70081,7.9395,1.1935,0.62338,2.9104,-0.28342,8.0907,4.0098,18.284,5.3656
