NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
123,-3.0735,1.2571,-1.1275,1.682,-0.42315,-1.0069,4.5093,0.97145,15.429,-1.9658,6.1497,0.60667,5.0467,8.8102,-1.1977,-1.1389
124,-6.191,-7.1655,-3.1152,-3.8336,-4.7836,-4.0879,4.0932,-0.30181,8.78,-6.9015,6.0157,-3.1409,8.432,6.4833,-8.5887,-1.1265
125,-10.64,0.51087,-1.1122,1.3492,2.6006,2.1237,-1.5614,1.003,-7.0877,-12.942,10.004,-7.7248,11.937,7.3044,9.3164,6.007
126,-6.0285,-2.8093,-2.2953,-4.5015,-6.1308,-3.1289,-1.3436,3.7275,-5.24,-6.0169,1.5431,-1.4095,-0.041365,-5.1779,8.8172,-2.9983
127,-8.2078,10.363,4.4458,9.6138,7.8983,8.0174,1.4319,1.6874,-8.7102,-2.6308,-4.7112,-0.1117,-0.85063,-3.494,-6.8584,-3.3439
128,-11.361,-0.47831,2.6368,3.3447,2.3084,0.75187,3.3504,5.1595,-13.525,-9.091,-3.3827,-6.22,9.8557,9.6906,-6.5721,11.043
129,0.54718,-19.955,-10.832,-20.097,-18.733,-23.173,-8.2329,-2.2315,-9.3925,-0.60061,-23.241,1.8883,-16.344,-15.058,-4.2957,-8.7164
130,2.3849,4.383,-1.0059,8.3079,6.0442,2.593,-9.028,-13.517,-13.82,10.573,-18.363,9.4971,-18.965,-15.259,-19.789,-15.829
131,2.188,-0.0084832,-0.1414,6.6703,8.0557,-0.85593,-5.6175,-9.8597,-14.534,1.6346,-4.8935,1.2395,-5.6984,3.9448,-20.821,-3.0605
132,6.5139,-6.4926,-1.5379,-1.0052,5.1379,-3.6501,-2.2606,-7.6186,-7.6135,-0.050253,6.8931,2.8232,4.8149,15.586,-21.956,4.183
133,10.449,-0.82156,0.86301,1.7037,4.5299,5.0432,4.8315,-0.11632,2.6093,4.6488,5.2835,2.8631,7.3616,12.95,-20.151,7.4842
134,22.783,-18.001,-9.8741,-17.882,-17.548,-14.653,-2.2669,-5.0929,9.7326,20.518,-14.449,16.413,-11.662,-10.796,-7.7338,-13.885
135,15.996,4.6934,-2.3848,2.8839,0.27541,2.4821,-7.9519,-7.0547,-10.588,14.92,22.206,10.072,-0.95929,-7.5554,-8.6645,-5.5961
136,14.2,6.1464,2.9217,1.6316,1.5212,4.9381,0.55874,2.0943,-3.8526,3.6125,30.571,-0.78831,4.9394,0.23379,-3.672,3.9671
137,-2.4402,36.298,17.678,29.887,28.43,30.404,5.0494,7.0654,2.6922,1.6225,33.215,0.57851,15.573,12.625,13.049,13.899
138,-10.561,20.323,18.51,15.142,17.622,16.965,11.678,12.599,2.2873,-17.76,40.295,-20.672,32.349,30.84,22.472,40.207
139,0.98408,-14.997,1.9681,-19.587,-14.751,-12.095,5.8304,8.1085,7.3969,-9.8419,-7.6941,-9.2585,2.797,2.7846,22.841,13.51
140,-7.3762,-10.076,-10.692,-6.0581,-6.7592,-11.144,-3.8291,-0.74918,1.5197,-8.2091,-22.21,-3.3731,-2.6439,0.30173,-3.9543,-2.8458
141,-15.909,18.971,3.8043,17.5,14.549,17.402,1.2162,1.8752,-0.064788,-1.3876,-16.202,2.0128,-0.035503,1.6816,1.812,-1.0272
142,-21.985,25.984,21.823,23.948,22.001,27.067,17.06,14.404,-6.5738,-16.27,29.877,-15.443,32.214,31.584,7.7149,26.949
143,-12.071,-7.5758,3.2022,-4.3311,-4.7822,-5.6492,7.2025,8.4733,-0.29168,-7.6205,10.516,-6.321,6.8432,5.1987,17.595,9.9068
