NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
98,12.84,-1.6863,5.8862,10.301,-7.1458,6.3767,9.3765,10.015,12.972,-2.9308,3.0914,7.4141,6.533,3.7558,0.88499,17.009
99,17.544,-3.1656,-6.778,-11.178,-0.45144,-2.3343,-4.8606,-1.809,8.9202,-7.6906,-1.1936,3.1359,3.5874,5.0006,-0.86811,2.4801
100,-1.0667,3.1355,-3.9664,-2.7382,0.72406,-5.6158,-4.0812,-4.6635,6.2168,-0.68088,-4.9336,-5.7672,-5.7082,-10.015,-1.909,-11.312
101,0.27989,10.188,-1.4786,-3.5503,-0.7987,-4.9578,-1.4965,-3.1346,10.941,1.6303,0.89052,0.085606,0.30798,-4.5588,-0.86388,-4.5077
102,9.5729,6.2081,5.3327,5.3059,-1.5515,2.9723,5.6839,4.4945,10.807,-3.1285,0.74128,3.164,2.865,-2.69,-1.3779,3.2216
103,12.784,-1.6254,5.8677,10.338,-7.1023,6.3855,9.4459,10.013,12.953,-2.8943,3.1322,7.354,6.5328,3.8005,0.86824,17.009
104,17.53,-3.1574,-6.7739,-11.145,-0.39659,-2.306,-4.9159,-1.7743,8.9136,-7.7237,-1.1575,3.22,3.6108,4.93,-0.8889,2.4801
105,-1.1244,3.1333,-3.9706,-2.7398,0.73813,-5.6369,-4.0969,-4.6142,6.2134,-0.68254,-4.9192,-5.8465,-5.7355,-10.032,-1.9557,-11.312
106,0.19743,10.192,-1.4133,-3.556,-0.77566,-4.914,-1.5224,-3.0937,10.979,1.651,0.89934,0.098165,0.31392,-4.5617,-0.90745,-4.5077
107,9.5509,6.2075,5.3214,5.2837,-1.5262,3.0195,5.7231,4.4673,10.84,-3.0989,0.7344,3.1542,2.9171,-2.6731,-1.3453,3.2216
108,12.778,-1.7102,5.8945,10.384,-7.0848,6.4013,9.436,9.9629,12.973,-2.9326,3.1006,7.393,6.5396,3.8226,0.92842,17.009
109,17.529,-3.2102,-6.8436,-11.16,-0.41809,-2.3165,-4.9066,-1.7896,8.8248,-7.6883,-1.2352,3.2076,3.5814,4.9687,-0.92297,2.4801
110,-1.081,3.1305,-3.9898,-2.7484,0.74233,-5.6111,-4.0328,-4.6877,6.1432,-0.70271,-5.0031,-5.7929,-5.7182,-10.046,-1.8873,-11.312
111,0.27046,10.236,-1.4932,-3.5623,-0.78474,-4.8905,-1.5218,-3.1492,10.992,1.5771,0.80833,0.10131,0.27006,-4.6105,-0.88988,-4.5077
112,9.5911,6.2688,5.3134,5.3423,-1.5715,2.9943,5.7091,4.4687,10.82,-3.0623,0.70219,3.1365,2.9132,-2.6638,-1.409,3.2216
113,12.827,-1.6529,5.8499,10.327,-7.1035,6.4264,9.409,10.052,12.971,-2.8804,3.0943,7.3916,6.4927,3.7668,0.88711,17.009
114,17.486,-3.1552,-6.7592,-11.189,-0.35902,-2.333,-4.8993,-1.8009,8.8532,-7.7488,-1.1623,3.1359,3.5398,4.9724,-0.8916,2.4801
115,-1.1033,3.1189,-4.0117,-2.7365,0.7495,-5.5729,-4.1031,-4.6844,6.1661,-0.63224,-4.9703,-5.8436,-5.7298,-10.011,-1.9179,-11.312
116,0.24083,10.226,-1.4984,-3.6049,-0.83866,-4.9489,-1.5336,-3.089,10.975,1.6189,0.82464,0.12387,0.25021,-4.5532,-0.8565,-4.5077
117,9.5869,6.2836,5.3473,5.3252,-1.5027,2.9918,5.6319,4.5216,10.74,-3.1024,0.65228,3.1161,2.9215,-2.6568,-1.3568,3.2216
118,12.757,-1.6831,5.8741,10.346,-7.1433,6.3926,9.4342,9.9991,12.924,-2.933,3.1376,7.4011,6.523,3.8055,0.88949,17.009
119,17.525,-3.1719,-6.8114,-11.149,-0.42021,-2.3443,-4.8643,-1.791,8.9191,-7.7321,-1.1726,3.1381,3.517,4.9372,-0.87735,2.4801
120,-1.0543,3.1524,-3.9888,-2.7819,0.80452,-5.6,-4.111,-4.6442,6.2251,-0.64864,-4.9749,-5.7994,-5.7083,-9.9804,-1.9601,-11.312
121,0.24446,10.27,-1.4077,-3.6315,-0.78564,-4.9033,-1.5758,-3.0908,10.903,1.6103,0.8185,0.10883,0.34015,-4.6394,-0.90358,-4.5077
122,9.5582,6.2808,5.3474,5.2673,-1.5386,3.0385,5.6783,4.5313,10.778,-3.1182,0.66063,3.186,2.9307,-2.6297,-1.3504,3.2216
123,12.779,-1.6684,5.8606,10.344,-7.0775,6.3638,9.3983,9.9539,12.973,-2.9292,3.1508,7.3693,6.5484,3.7814,0.84165,17.009
124,17.532,-3.2027,-6.7785,-11.168,-0.42913,-2.2913,-4.913,-1.801,8.8377,-7.7818,-1.1618,3.1837,3.5459,4.9397,-0.88676,2.4801
125,-1.0336,3.164,-3.9481,-2.7182,0.7538,-5.6372,-4.0926,-4.6309,6.1912,-0.66766,-4.9714,-5.835,-5.6724,-10.007,-1.8861,-11.312
126,0.2699,10.221,-1.5003,-3.6247,-0.77871,-4.9691,-1.523,-3.1138,10.935,1.6231,0.80817,0.079675,0.26452,-4.6121,-0.90091,-4.5077
127,9.6194,6.2487,5.2944,5.3455,-1.5517,3.0137,5.7186,4.5286,10.757,-3.0666,0.73751,3.128,2.9375,-2.6761,-1.3792,3.2216
128,12.846,-1.6312,5.845,10.354,-7.1203,6.34,9.3735,10.031,12.956,-2.9453,3.1818,7.4074,6.5019,3.8297,0.85717,17.009
129,17.481,-3.2245,-6.7769,-11.16,-0.3583,-2.3302,-4.9234,-1.844,8.8821,-7.7141,-1.2066,3.1284,3.5247,4.9883,-0.89145,2.4801
130,-0.93016,-7.7456,5.9623,6.8547,-0.32242,2.9979,10.662,8.1972,-5.5218,7.4867,-10.05,-0.32247,-1.2145,-5.2916,-2.5083,1.9186
131,4.0537,7.2536,17.436,17.039,-7.372,17.525,22.393,21.936,0.67681,3.4929,6.3518,16.677,17.985,18.485,19.127,12.13
132,7.038,9.4764,6.1819,-0.2344,-2.25,10.419,13.354,9.8824,1.5022,-1.6763,10.544,13.032,19.4,18.956,22.911,13.083
133,-9.6458,2.8347,2.6849,-0.82616,-2.8422,4.0013,7.4734,6.4082,-0.77173,1.9121,-3.7797,1.9361,10.453,8.2677,11.989,13.306
134,-7.2159,5.0419,0.55328,-1.4609,-7.5001,2.5131,1.0464,2.3688,-0.85746,-6.2516,2.5088,9.979,14.615,14.611,15.196,14.347
135,-0.89855,-7.7144,5.9623,6.9083,-0.34887,2.9638,10.616,8.1603,-5.4812,7.4127,-10.063,-0.38575,-1.1972,-5.2904,-2.4385,1.9186
136,4.079,7.2603,17.442,17.104,-7.2972,17.505,22.381,21.976,0.62395,3.4509,6.3749,16.652,18.029,18.481,19.11,12.13
137,7.0532,9.4757,6.2374,-0.23427,-2.1558,10.449,13.387,9.8502,1.4995,-1.5927,10.564,13.005,19.378,18.88,22.858,13.083
138,-9.6268,2.8585,2.5936,-0.76809,-2.7869,4.0349,7.4564,6.4693,-0.7997,1.9292,-3.8537,1.9873,10.486,8.1795,11.962,13.306
139,-7.1481,5.0926,0.50848,-1.3837,-7.5325,2.5299,1.0039,2.3078,-0.92232,-6.1919,2.5752,9.9583,14.602,14.588,15.169,14.347
140,-0.90557,-7.744,5.9873,6.8616,-0.31664,2.9472,10.627,8.1501,-5.4969,7.4551,-10.034,-0.38238,-1.2157,-5.2984,-2.4675,1.9186
141,4.0527,7.2319,17.513,17.019,-7.383,17.546,22.353,21.897,0.70611,3.4345,6.3171,16.649,18.017,18.524,19.115,12.13
142,7.1168,9.4561,6.2107,-0.2587,-2.1833,10.407,13.337,9.8965,1.4999,-1.6578,10.54,12.964,19.354,18.943,22.89,13.083
143,-9.6665,2.8593,2.6026,-0.78915,-2.8671,4.0209,7.4933,6.3908,-0.80097,1.9379,-3.8663,1.9882,10.458,8.2371,11.968,13.306
144,-7.2026,5.0949,0.49837,-1.4587,-7.5469,2.4857,1.0547,2.3054,-0.90067,-6.2458,2.5151,9.9878,14.601,14.567,15.163,14.347
145,-0.89562,-7.7258,5.9494,6.8619,-0.30709,2.9634,10.643,8.1772,-5.487,7.424,-10.011,-0.36612,-1.2214,-5.3233,-2.4555,1.9186
146,4.1035,7.2399,17.448,17.079,-7.2919,17.488,22.361,21.963,0.71822,3.4594,6.3902,16.655,18.066,18.518,19.057,12.13
147,7.0432,9.5156,6.2396,-0.25363,-2.2228,10.474,13.313,9.8887,1.5331,-1.6078,10.541,12.997,19.388,18.907,22.866,13.083
148,-9.688,2.8396,2.6595,-0.82059,-2.8631,4.0607,7.4343,6.4432,-0.83736,1.9043,-3.8365,1.9028,10.533,8.2146,11.969,13.306
149,-7.2086,5.0202,0.53339,-1.4213,-7.5398,2.4932,1.0117,2.3483,-0.84838,-6.2038,2.5755,10.004,14.538,14.614,15.211,14.347
150,-0.93581,-7.7806,5.9523,6.8607,-0.28881,2.9673,10.601,8.1722,-5.4271,7.414,-10.063,-0.29994,-1.1755,-5.3064,-2.4618,1.9186
151,4.0893,7.2978,17.486,17.08,-7.3001,17.539,22.345,21.924,0.62481,3.4519,6.3999,16.689,18.07,18.529,19.078,12.13
152,7.0659,9.5058,6.2507,-0.28921,-2.2066,10.489,13.334,9.8775,1.4981,-1.6336,10.547,12.976,19.41,18.926,22.922,13.083
153,-9.651,2.8349,2.6043,-0.74086,-2.7786,3.9868,7.5211,6.466,-0.82346,1.9289,-3.8419,1.9903,10.5,8.2334,12.021,13.306
154,-7.1748,5.095,0.48731,-1.4176,-7.5424,2.4646,1.0275,2.3771,-0.88544,-6.1904,2.556,10.009,14.565,14.531,15.157,14.347
155,-0.93254,-7.7335,5.9982,6.9246,-0.28775,2.9767,10.673,8.1394,-5.4489,7.4332,-9.9763,-0.33608,-1.1331,-5.3143,-2.4438,1.9186
156,4.0343,7.3007,17.452,17.055,-7.2872,17.493,22.338,21.951,0.7071,3.4907,6.3869,16.724,18.016,18.473,19.085,12.13
157,7.0907,9.4486,6.2122,-0.23414,-2.1877,10.412,13.313,9.9124,1.5778,-1.5865,10.61,12.974,19.365,18.903,22.888,13.083
158,-9.6867,2.803,2.62,-0.75998,-2.7934,4.0351,7.4482,6.4115,-0.86186,1.8543,-3.794,1.9171,10.511,8.2506,12.005,13.306
159,-7.1626,5.0944,0.54328,-1.4533,-7.4895,2.5439,0.98615,2.3297,-0.84597,-6.2551,2.5352,10.018,14.587,14.525,15.176,14.347
160,-0.87092,-7.7948,6.0033,6.9111,-0.30423,3.0276,10.602,8.165,-5.468,7.4289,-9.985,-0.33269,-1.1401,-5.3717,-2.4479,1.9186
161,4.0822,7.2316,17.487,17.097,-7.3527,17.517,22.345,21.901,0.65471,3.434,6.3602,16.679,18.025,18.537,19.124,12.13
